Indicator,Percent of children considered to be poor (<100% FPG) by Race / Ethnicity
Source,"SHADAC analysis of the American Community Survey (ACS) Public Use Microdata Sample (PUMS) files.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The margin of error (MOE) represents the uncertainty of an estimate due to sampling variability; the calculated MOE is 95%. N/A indicates that data were not available or suppressed because the number of sample cases was too small. Data for 2020 were <a href="https://www.shadac.org/news/changes-to-2020-acs-data-release-US-Census" target="_blank">not officially released by the U.S. Census Bureau</a> due to pandemic-related disruptions to data collection and resulting problems with data quality. Because of<a href="https://www.census.gov/newsroom/blogs/random-samplings/2021/08/improvements-to-2020-census-race-hispanic-origin-question-designs.html" target="_blank"> changes made in 2020 to how the ACS measures race and ethnicity</a>, caution should be used when comparing data by race and ethnicity from 2021 and later to data from 2019 and earlier."
Description,"Percent of children considered to be poor (&lt;100% FPG) by race and ethnicity. The Federal Poverty Guidelines (FPG) set the minimum amount of total income that a family needs for food, clothing, transportation, shelter and other necessities."


Fips,Location,Race / Ethnicity,TimeFrame,Data Type,Data,MOE
01,Alabama,Other / Multiple Races,2016,Percent,0.2638,8.4083996699999997E-2
01,Alabama,African-American / Black,2016,Percent,0.4522,3.7632003400000003E-2
01,Alabama,White,2016,Percent,0.185,1.9992001400000001E-2
01,Alabama,Hispanic / Latino,2016,Percent,0.4881,8.6240000999999997E-2
01,Alabama,White,2015,Percent,0.203,2.0188000099999999E-2
01,Alabama,African-American / Black,2015,Percent,0.4727,3.7436000999999997E-2
01,Alabama,Hispanic / Latino,2015,Percent,0.5263,9.1140001999999998E-2
01,Alabama,Other / Multiple Races,2015,Percent,0.299,7.6831996400000005E-2
01,Alabama,White,2014,Percent,0.2059,1.9207999100000001E-2
01,Alabama,African-American / Black,2014,Percent,0.5109,3.78279984E-2
01,Alabama,Hispanic / Latino,2014,Percent,0.5187,8.8200002900000005E-2
01,Alabama,Other / Multiple Races,2014,Percent,0.3362,8.4867999E-2
01,Alabama,White,2013,Percent,0.2045,1.9207999100000001E-2
01,Alabama,African-American / Black,2013,Percent,0.5069,3.6651998800000002E-2
01,Alabama,Hispanic / Latino,2013,Percent,0.5207,9.07479972E-2
01,Alabama,Other / Multiple Races,2013,Percent,0.2993,7.4284002200000004E-2
01,Alabama,White,2012,Percent,0.1846,1.84240006E-2
01,Alabama,African-American / Black,2012,Percent,0.5141,3.6260001399999998E-2
01,Alabama,Hispanic / Latino,2012,Percent,0.4409,8.6043998600000005E-2
01,Alabama,Other / Multiple Races,2012,Percent,0.3295,8.5652001199999994E-2
01,Alabama,White,2011,Percent,0.2018,1.9796000800000001E-2
01,Alabama,African-American / Black,2011,Percent,0.5069,3.6848001200000001E-2
01,Alabama,Hispanic / Latino,2011,Percent,0.4991,0.107408002
01,Alabama,Other / Multiple Races,2011,Percent,0.2813,6.5659999799999993E-2
01,Alabama,White,2010,Percent,0.2099,1.8619999299999999E-2
01,Alabama,African-American / Black,2010,Percent,0.5209,3.3711999700000002E-2
01,Alabama,Hispanic / Latino,2010,Percent,0.4375,8.7219998199999996E-2
